
# DDL
CREATE DATABASE Trumpv2

# DML
# CONTEXT-DATABASE: Trumpv2

shooting IncidentDate="August 31, 2019",State="North Carolina",CityOrCounty="Charlotte",Address="10035 Dabney Dr",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="South Carolina",CityOrCounty="Moncks Corner",Address="336 Maplewood Rd",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="Maryland",CityOrCounty="Baltimore",Address="900 block of N Monroe St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="Maryland",CityOrCounty="Frederick",Address="600 block of N Market St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 31, 2019",State="Illinois",CityOrCounty="Chicago",Address="7100 block of S Paulina St",Killed=2,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 30, 2019",State="Alabama",CityOrCounty="Mobile",Address="1621 Virginia St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="August 30, 2019",State="Maryland",CityOrCounty="Baltimore",Address="1600 block of E 29th St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 29, 2019",State="Maryland",CityOrCounty="Baltimore",Address="2500 block of E Monument St",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 25, 2019",State="Illinois",CityOrCounty="Chicago",Address="8200 block of S Maryland Ave",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 25, 2019",State="New Mexico",CityOrCounty="Hobbs",Address="1700 block of East Bond St",Killed=3,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 24, 2019",State="Maryland",CityOrCounty="Temple Hills (Camp Springs)",Address="6200 block of Maxwell Dr",Killed=0,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="August 24, 2019",State="Massachusetts",CityOrCounty="Lynn",Address="Warren Street",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 23, 2019",State="Texas",CityOrCounty="Houston",Address="4900 block of Southwind St",Killed=3,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="August 23, 2019",State="Georgia",CityOrCounty="Dublin",Address="200 Riverview Park Dr",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 23, 2019",State="Missouri",CityOrCounty="Saint Louis",Address="1122 Union Blvd",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 22, 2019",State="South Carolina",CityOrCounty="Columbia",Address="851 Bush River Rd",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="August 22, 2019",State="California",CityOrCounty="Los Angeles",Address="300 block of West Fifth St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 20, 2019",State="Georgia",CityOrCounty="Atlanta",Address="111 James P Brawley Dr SW",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 18, 2019",State="Missouri",CityOrCounty="Kansas City",Address="770 W 47th St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 17, 2019",State="Texas",CityOrCounty="Houston",Address="12500 block of Mylla St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="August 15, 2019",State="Alabama",CityOrCounty="Montgomery",Address="847 N University Dr",Killed=2,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 15, 2019",State="Pennsylvania",CityOrCounty="Philadelphia",Address="5800 block of N 15th St",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="August 14, 2019",State="Pennsylvania",CityOrCounty="Philadelphia",Address="3716 N 15th St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="August 13, 2019",State="Washington",CityOrCounty="Tacoma",Address="E 38th St and E Roosevelt Ave",Killed=2,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="August 12, 2019",State="Mississippi",CityOrCounty="Greenwood",Address="200 Young St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 11, 2019",State="Illinois",CityOrCounty="Chicago",Address="3500 block of W Lake St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="August 10, 2019",State="Virginia",CityOrCounty="Richmond",Address="6346 Midlothian Turnpike",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 10, 2019",State="California",CityOrCounty="San Francisco",Address="1100 Fillmore St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 9, 2019",State="Illinois",CityOrCounty="Chicago",Address="7300 block of S Artesian Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 7, 2019",State="Missouri",CityOrCounty="Saint Louis",Address="4900 block of Plover Ave",Killed=3,Injured=1,Operations="nan" 1571702409
shooting IncidentDate="August 5, 2019",State="New York",CityOrCounty="Brooklyn",Address="216 Buffalo Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 4, 2019",State="Louisiana",CityOrCounty="Lake Charles",Address="110 Pryce St",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="August 4, 2019",State="Illinois",CityOrCounty="Chicago",Address="1800 S Kildare Ave",Killed=1,Injured=7,Operations="nan" 1571702409
shooting IncidentDate="August 4, 2019",State="Tennessee",CityOrCounty="Memphis",Address="443 E Shelby Dr",Killed=1,Injured=3,Operations="nan" 1571702409
